group,psc_desc,psc,Level1,Level_1_Category,Level_2,Level_2_Category
36,SPECIALIZED AMMUNITION AND ORDNANCE MACHINERY AND RELATED EQUIPMENT,3690,5,Industrial Products & Services,5.1,Machinery & Components
36,INDUSTRIAL ASSEMBLY MACHINES,3693,5,Industrial Products & Services,5.1,Machinery & Components
36,"CLEAN WORK STATIONS, CONTROLLED ENVIRONMENT, AND RELATED EQUIPMENT",3694,5,Industrial Products & Services,5.1,Machinery & Components
36,MISCELLANEOUS SPECIAL INDUSTRY MACHINERY,3695,5,Industrial Products & Services,5.1,Machinery & Components
37,SOIL PREPARATION EQUIPMENT,3710,4,Facilities & Construction,4.1,Construction Related Materials
37,HARVESTING EQUIPMENT,3720,4,Facilities & Construction,4.3,Facility Related Materials
37,"DAIRY, POULTRY, AND LIVESTOCK EQUIPMENT",3730,5,Industrial Products & Services,5.1,Machinery & Components
37,"PEST, DISEASE, AND FROST CONTROL EQUIPMENT",3740,4,Facilities & Construction,4.3,Facility Related Materials
37,GARDENING IMPLEMENTS AND TOOLS,3750,4,Facilities & Construction,4.3,Facility Related Materials
37,"SADDLERY, HARNESS, WHIPS, AND RELATED ANIMAL FURNISHINGS",3770,3,Security and Protection,3.1,Security Animals & Related Svcs
38,EARTH MOVING AND EXCAVATING EQUIPMENT,3805,4,Facilities & Construction,4.1,Construction Related Materials
38,CRANES AND CRANE-SHOVELS,3810,5,Industrial Products & Services,5.1,Machinery & Components
38,CRANE AND CRANE-SHOVEL ATTACHMENTS,3815,5,Industrial Products & Services,5.1,Machinery & Components
38,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",3820,5,Industrial Products & Services,5.1,Machinery & Components
38,"ROAD CLEARING, CLEANING, AND MARKING EQUIPMENT",3825,5,Industrial Products & Services,5.1,Machinery & Components
38,TRUCK AND TRACTOR ATTACHMENTS,3830,5,Industrial Products & Services,5.1,Machinery & Components
38,PETROLEUM PRODUCTION AND DISTRIBUTION EQUIPMENT,3835,5,Industrial Products & Services,5.1,Machinery & Components
38,MISCELLANEOUS CONSTRUCTION EQUIPMENT,3895,4,Facilities & Construction,4.1,Construction Related Materials
39,CONVEYORS,3910,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,MATERIALS FEEDERS,3915,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,"MATERIAL HANDLING EQUIPMENT, NONSELF-PROPELLED",3920,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,"WAREHOUSE TRUCKS AND TRACTORS, SELF-PROPELLED",3930,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,"BLOCKS, TACKLE, RIGGING, AND SLINGS",3940,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,"WINCHES, HOISTS, CRANES, AND DERRICKS",3950,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,FREIGHT ELEVATORS,3960,7,Transportation and Logistics Services,7.6,Transportation Equipment
39,MISCELLANEOUS MATERIALS HANDLING EQUIPMENT,3990,7,Transportation and Logistics Services,7.6,Transportation Equipment
40,CHAIN AND WIRE ROPE,4010,5,Industrial Products & Services,5.3,Hardware & Tools
40,"FIBER ROPE, CORDAGE, AND TWINE",4020,5,Industrial Products & Services,5.3,Hardware & Tools
40,"FITTINGS FOR ROPE, CABLE, AND CHAIN",4030,5,Industrial Products & Services,5.3,Hardware & Tools
41,REFRIGERATION EQUIPMENT,4110,4,Facilities & Construction,4.3,Facility Related Materials
41,AIR CONDITIONING EQUIPMENT,4120,4,Facilities & Construction,4.3,Facility Related Materials
41,REFRIGERATION AND AIR CONDITIONING COMPONENTS,4130,4,Facilities & Construction,4.3,Facility Related Materials
41,"FANS, AIR CIRCULATORS, AND BLOWER EQUIPMENT",4140,4,Facilities & Construction,4.3,Facility Related Materials
41,VORTEX TUBES AND OTHER RELATED COOLING TUBES,4150,4,Facilities & Construction,4.3,Facility Related Materials
42,FIRE FIGHTING EQUIPMENT,4210,5,Industrial Products & Services,5.2,Fire/Rescue/Safety/Environmental Protection Equipment
42,MARINE LIFESAVING AND DIVING EQUIPMENT,4220,14,Sustainment S&E,14.2,"""Engines, Components & Spt Eq"""
